candidate_id,candidate_type,entity_type,left_entity_id,left_name,right_entity_id,right_name,string_similarity,embedding_similarity,system_decision,human_decision,reviewer,review_note
review_0001,fuzzy,Product,entity_892,지역 농특산물,entity_8371,지역농특산물,0.9231,,review,,,
review_0002,fuzzy,Theme,entity_1917,글로벌 문화,entity_6727,글로벌 문화교류,0.8571,,review,,,
review_0003,fuzzy,Program,entity_2067,충장 W(world) 퍼레이드,entity_2069,충장 K(korea) 퍼레이드,0.8889,,review,,,
review_0004,fuzzy,Program,entity_1985,전국한글백일장,entity_1989,전국한시백일장,0.8571,,review,,,
review_0005,fuzzy,Audience,entity_3303,국내외의 관광객,entity_6556,국내외 관광객들,0.875,,review,,,
review_0006,fuzzy,Program,entity_2017,개‧폐막공연,entity_3337,개/폐막 공연,0.9231,,review,,,
review_0007,fuzzy,Program,entity_702,먹거리 판매부스 운영,entity_5588,먹거리 부스 운영,0.9,,review,,,
review_0008,fuzzy,Program,entity_2292,플레이 그라운드,entity_3639,플레이그라운드,0.9333,,review,,,
review_0009,fuzzy,Program,entity_4475,전국 드론경연대회,entity_4483,전국 드론 경연대회,0.9474,,review,,,
review_0010,fuzzy,Program,entity_605,개막축하 콘서트,entity_7065,개막 콘서트,0.8571,,review,,,
review_0011,fuzzy,Program,entity_6067,체험 마당,entity_7663,체험마당,0.8889,,review,,,
review_0012,fuzzy,Program,entity_5648,개막식 주제공연,entity_7507,개막식/공연,0.8571,,review,,,
review_0013,fuzzy,Program,entity_11306,실내낚시,entity_11319,실내 낚시,0.8889,,review,,,
review_0014,fuzzy,Program,entity_1578,드론 체험,entity_6095,드론체험,0.8889,,review,,,
review_0015,fuzzy,Audience,entity_717,어린이,entity_2504,어린이들,0.8571,,review,,,
review_0016,fuzzy,Audience,entity_2244,참가자,entity_11409,참가자들,0.8571,,review,,,
review_0017,fuzzy,Audience,entity_3025,지역민들,entity_6847,지역주민들,0.8889,,review,,,
review_0018,fuzzy,Program,entity_10193,반려견 프로그램,entity_10202,반려견프로그램,0.9333,,review,,,
