pair_id,label,expected_decision,candidate_type,entity_type,similarity,left_name,left_source_doc_id,left_evidence,right_name,right_source_doc_id,right_evidence,human_decision,reviewer,review_note
gold_001,positive,merge,exact_normalized,Program,,체험 프로그램,1100492,누구나 함께 즐기는 체험 프로그램이 찾아온다,"체험 프로그램(디지털 타투, 물총, 버블)",2499947,"3. 소비자 참여 프로그램 : 체험 프로그램(디지털 타투, 물총, 버블)",,,
gold_002,positive,merge,exact_normalized,Program,,체험 프로그램,1100492,누구나 함께 즐기는 체험 프로그램이 찾아온다,체험 프로그램(부스 운영),2991394,체험 프로그램(부스 운영),,,
gold_003,positive,merge,exact_normalized,Program,,체험 프로그램,1100492,누구나 함께 즐기는 체험 프로그램이 찾아온다,"체험 프로그램(게임,스탬프투어 등)",3483210,"체험 프로그램(게임,스탬프투어 등)",,,
gold_004,positive,merge,exact_normalized,Program,,체험 프로그램,1100492,누구나 함께 즐기는 체험 프로그램이 찾아온다,"체험 프로그램(패들보드, 카누&카약 등)",3489505,"부대 행사 및 프로그램 : 체험 프로그램(패들보드, 카누&카약 등) / 공모전(해양레저관광, 홍보마케팅 등) 등",,,
gold_005,positive,merge,exact_normalized,Program,,"체험 프로그램(디지털 타투, 물총, 버블)",2499947,"3. 소비자 참여 프로그램 : 체험 프로그램(디지털 타투, 물총, 버블)",체험 프로그램(부스 운영),2991394,체험 프로그램(부스 운영),,,
gold_006,positive,merge,exact_normalized,Program,,"체험 프로그램(디지털 타투, 물총, 버블)",2499947,"3. 소비자 참여 프로그램 : 체험 프로그램(디지털 타투, 물총, 버블)","체험 프로그램(게임,스탬프투어 등)",3483210,"체험 프로그램(게임,스탬프투어 등)",,,
gold_007,positive,merge,exact_normalized,Program,,"체험 프로그램(디지털 타투, 물총, 버블)",2499947,"3. 소비자 참여 프로그램 : 체험 프로그램(디지털 타투, 물총, 버블)","체험 프로그램(패들보드, 카누&카약 등)",3489505,"부대 행사 및 프로그램 : 체험 프로그램(패들보드, 카누&카약 등) / 공모전(해양레저관광, 홍보마케팅 등) 등",,,
gold_008,positive,merge,exact_normalized,Program,,체험 프로그램(부스 운영),2991394,체험 프로그램(부스 운영),"체험 프로그램(게임,스탬프투어 등)",3483210,"체험 프로그램(게임,스탬프투어 등)",,,
gold_009,positive,merge,exact_normalized,Program,,체험 프로그램(부스 운영),2991394,체험 프로그램(부스 운영),"체험 프로그램(패들보드, 카누&카약 등)",3489505,"부대 행사 및 프로그램 : 체험 프로그램(패들보드, 카누&카약 등) / 공모전(해양레저관광, 홍보마케팅 등) 등",,,
gold_010,positive,merge,exact_normalized,Program,,"체험 프로그램(게임,스탬프투어 등)",3483210,"체험 프로그램(게임,스탬프투어 등)","체험 프로그램(패들보드, 카누&카약 등)",3489505,"부대 행사 및 프로그램 : 체험 프로그램(패들보드, 카누&카약 등) / 공모전(해양레저관광, 홍보마케팅 등) 등",,,
gold_011,positive,merge,exact_normalized,Program,,푸드트럭,4109423,"부대행사는 체험부스, 푸드트럭, 플리마켓, 논알콜 맥주 등 다양한 프로그램을 만나 볼 수 있다",푸드트럭(용기내 챌린지),2614760,"왕의 다과상, 푸드트럭(용기내 챌린지)",,,
gold_012,positive,merge,exact_normalized,Program,,푸드트럭,4109423,"부대행사는 체험부스, 푸드트럭, 플리마켓, 논알콜 맥주 등 다양한 프로그램을 만나 볼 수 있다",푸드트럭(먹거리장터),2667707,부대 행사 및 프로그램 : 개막식 / 정원문화 체험 / 정원산업전 / 컨퍼런스 / 문화·예술 공연 / 푸드트럭(먹거리장터),,,
gold_013,positive,merge,exact_normalized,Program,,푸드트럭,4109423,"부대행사는 체험부스, 푸드트럭, 플리마켓, 논알콜 맥주 등 다양한 프로그램을 만나 볼 수 있다",푸드트럭(먹거리존),4097059,"2. 부대프로그램 : 물풍선던지기체험존, 만들기체험존 (에코백, 뱃지만들기 등), 영수증 럭키드로우, 푸드트럭(먹거리존), 플리마켓 외",,,
gold_014,positive,merge,exact_normalized,Program,,푸드트럭,4109423,"부대행사는 체험부스, 푸드트럭, 플리마켓, 논알콜 맥주 등 다양한 프로그램을 만나 볼 수 있다",푸드트럭(임산물 요리),2560317,푸드트럭(임산물 요리),,,
gold_015,positive,merge,exact_normalized,Program,,푸드트럭(용기내 챌린지),2614760,"왕의 다과상, 푸드트럭(용기내 챌린지)",푸드트럭(먹거리장터),2667707,부대 행사 및 프로그램 : 개막식 / 정원문화 체험 / 정원산업전 / 컨퍼런스 / 문화·예술 공연 / 푸드트럭(먹거리장터),,,
gold_016,positive,merge,exact_normalized,Program,,푸드트럭(용기내 챌린지),2614760,"왕의 다과상, 푸드트럭(용기내 챌린지)",푸드트럭(먹거리존),4097059,"2. 부대프로그램 : 물풍선던지기체험존, 만들기체험존 (에코백, 뱃지만들기 등), 영수증 럭키드로우, 푸드트럭(먹거리존), 플리마켓 외",,,
gold_017,positive,merge,exact_normalized,Program,,푸드트럭(용기내 챌린지),2614760,"왕의 다과상, 푸드트럭(용기내 챌린지)",푸드트럭(임산물 요리),2560317,푸드트럭(임산물 요리),,,
gold_018,positive,merge,exact_normalized,Program,,푸드트럭(먹거리장터),2667707,부대 행사 및 프로그램 : 개막식 / 정원문화 체험 / 정원산업전 / 컨퍼런스 / 문화·예술 공연 / 푸드트럭(먹거리장터),푸드트럭(먹거리존),4097059,"2. 부대프로그램 : 물풍선던지기체험존, 만들기체험존 (에코백, 뱃지만들기 등), 영수증 럭키드로우, 푸드트럭(먹거리존), 플리마켓 외",,,
gold_019,positive,merge,exact_normalized,Program,,푸드트럭(먹거리장터),2667707,부대 행사 및 프로그램 : 개막식 / 정원문화 체험 / 정원산업전 / 컨퍼런스 / 문화·예술 공연 / 푸드트럭(먹거리장터),푸드트럭(임산물 요리),2560317,푸드트럭(임산물 요리),,,
gold_020,positive,merge,exact_normalized,Program,,푸드트럭(먹거리존),4097059,"2. 부대프로그램 : 물풍선던지기체험존, 만들기체험존 (에코백, 뱃지만들기 등), 영수증 럭키드로우, 푸드트럭(먹거리존), 플리마켓 외",푸드트럭(임산물 요리),2560317,푸드트럭(임산물 요리),,,
gold_021,positive,merge,exact_normalized,Program,,플리마켓,4109423,"부대행사는 체험부스, 푸드트럭, 플리마켓, 논알콜 맥주 등 다양한 프로그램을 만나 볼 수 있다",플리마켓(광복동 차 없는거리 일대),4088149,5. 플리마켓(광복동 차 없는거리 일대) - 부산 로컬 플리마켓,,,
gold_022,positive,merge,exact_normalized,Program,,스탬프 투어,3354966,5. 스탬프 투어,스탬프 투어(야로 - 미션 스탬프 투어 '강경유산수첩'),3346571,스탬프 투어(야로 - 미션 스탬프 투어 '강경유산수첩'): 코스별 국가유산 방문 스탬프 수집 시 강경통보 및 야행 특화 굿즈 증정,,,
gold_023,positive,merge,exact_normalized,Program,,스탬프 투어,3354966,5. 스탬프 투어,스탬프 투어(완료 시 졸업사진 촬영),4065251,스탬프 투어(완료 시 졸업사진 촬영),,,
